,0.3,0.4,0.6,0.8
cv,[0.73015873 0.76190476 0.71428571 0.92063492 0.82258065],[0.78378378 0.66486486 0.84782609 0.83152174 0.85326087],[0.7039627  0.65967366 0.86480186 0.82517483 0.83411215],[0.64356436 0.69306931 0.86963696 0.830033   0.85313531]
score,0.814,0.674,0.752,0.768
sensitivity,0.07954545454545454,0.36363636363636365,0.26136363636363635,0.29545454545454547
specicifity,0.970873786407767,0.7402912621359223,0.8567961165048543,0.8689320388349514
AUC,0.5666234554280669,0.5599900706090026,0.6023003089143866,0.7046281994704324
MCC,0.1004238596003524,0.08834051951708494,0.12152467015849405,0.17076020871363057
